:START_ID(iata_code),:END_ID(iata_code),:TYPE,flight_number:int,airline:string,date:string,departure_time:string,distance:int
SGF,DFW,IS_FLYING_TO,2859,MQ,1/1/2015,,364
PHL,IAH,IS_FLYING_TO,1201,UA,1/1/2015,05:32,1325
PDX,DEN,IS_FLYING_TO,1221,UA,1/1/2015,05:34,991
SEA,DEN,IS_FLYING_TO,1607,UA,1/1/2015,05:29,1024
DEN,DFW,IS_FLYING_TO,328,AA,1/1/2015,06:23,641
SBN,ORD,IS_FLYING_TO,5764,EV,1/1/2015,05:27,84
PHL,MCO,IS_FLYING_TO,1279,F9,1/1/2015,05:26,861
ORD,FLL,IS_FLYING_TO,409,NK,1/1/2015,05:26,1182
RDD,SFO,IS_FLYING_TO,5460,OO,1/1/2015,,199
EUG,DEN,IS_FLYING_TO,6391,OO,1/1/2015,05:26,996
SFO,DEN,IS_FLYING_TO,1532,UA,1/1/2015,05:50,967
ORD,DEN,IS_FLYING_TO,1167,UA,1/1/2015,05:40,888
IAD,IAH,IS_FLYING_TO,1012,UA,1/1/2015,05:41,1190
BUF,JFK,IS_FLYING_TO,2001,B6,1/1/2015,05:30,301
PWM,JFK,IS_FLYING_TO,2807,B6,1/1/2015,05:28,273
JFK,SJU,IS_FLYING_TO,2023,B6,1/1/2015,06:18,1598
CRP,IAH,IS_FLYING_TO,4557,EV,1/1/2015,05:23,201
PIA,DTW,IS_FLYING_TO,5241,EV,1/1/2015,05:30,346
ORD,DTW,IS_FLYING_TO,5498,EV,1/1/2015,05:50,235
FAT,LAX,IS_FLYING_TO,6512,OO,1/1/2015,05:30,209
SMF,DEN,IS_FLYING_TO,1577,UA,1/1/2015,06:34,909
AUS,LAX,IS_FLYING_TO,4986,OO,1/1/2015,05:35,1242
BOS,BWI,IS_FLYING_TO,727,B6,1/1/2015,05:36,369
ORD,BOS,IS_FLYING_TO,1012,B6,1/1/2015,05:29,867
PHX,DTW,IS_FLYING_TO,824,DL,1/1/2015,08:08,1671
MCI,ATL,IS_FLYING_TO,941,DL,1/1/2015,05:46,692
BOS,DTW,IS_FLYING_TO,2079,DL,1/1/2015,05:37,632
ATL,IAD,IS_FLYING_TO,3268,EV,1/1/2015,05:56,534
JAX,EWR,IS_FLYING_TO,4160,EV,1/1/2015,05:31,820
MFR,DEN,IS_FLYING_TO,6285,OO,1/1/2015,05:38,964
SLC,IAH,IS_FLYING_TO,5184,OO,1/1/2015,05:37,1195
IDA,DEN,IS_FLYING_TO,6358,OO,1/1/2015,05:39,458
MSN,DEN,IS_FLYING_TO,161,F9,1/1/2015,05:34,826
MKE,DTW,IS_FLYING_TO,4833,OO,1/1/2015,05:43,237
GEG,DEN,IS_FLYING_TO,1119,UA,1/1/2015,05:42,836
SEA,IAH,IS_FLYING_TO,1237,UA,1/1/2015,05:41,1874
DCA,IAH,IS_FLYING_TO,1540,UA,1/1/2015,05:50,1208
SAT,DFW,IS_FLYING_TO,1433,AA,1/1/2015,05:39,247
JFK,MIA,IS_FLYING_TO,2299,AA,1/1/2015,06:40,1089
BOS,PBI,IS_FLYING_TO,721,B6,1/1/2015,05:51,1197
BOS,JFK,IS_FLYING_TO,917,B6,1/1/2015,05:43,187
JFK,BQN,IS_FLYING_TO,939,B6,1/1/2015,05:45,1576
DFW,ATL,IS_FLYING_TO,1890,DL,1/1/2015,06:03,731
CHS,EWR,IS_FLYING_TO,4646,EV,1/1/2015,05:40,628
MKE,DEN,IS_FLYING_TO,365,F9,1/1/2015,06:21,896
MSP,DEN,IS_FLYING_TO,117,F9,1/1/2015,05:38,680
CHS,DFW,IS_FLYING_TO,2926,MQ,1/1/2015,,987
DEN,LAX,IS_FLYING_TO,2599,OO,1/1/2015,06:58,862
SBA,DEN,IS_FLYING_TO,5482,OO,1/1/2015,05:42,916
SMX,LAX,IS_FLYING_TO,6457,OO,1/1/2015,,134
HNL,KOA,IS_FLYING_TO,218,HA,1/1/2015,05:40,163
BOS,BUF,IS_FLYING_TO,515,B6,1/1/2015,05:40,395
PDX,EWR,IS_FLYING_TO,228,UA,1/1/2015,05:47,2434
IND,PHX,IS_FLYING_TO,641,US,1/1/2015,05:45,1488
LAX,DEN,IS_FLYING_TO,495,UA,1/1/2015,05:50,862
CLE,IAH,IS_FLYING_TO,507,UA,1/1/2015,06:29,1091
BOS,EWR,IS_FLYING_TO,1553,UA,1/1/2015,05:52,200
DEN,PHX,IS_FLYING_TO,403,US,1/1/2015,05:50,602
MCI,PHX,IS_FLYING_TO,446,US,1/1/2015,05:44,1044
AUS,DFW,IS_FLYING_TO,1178,AA,1/1/2015,05:48,190
LAX,DFW,IS_FLYING_TO,2410,AA,1/1/2015,06:00,1235
GSP,ATL,IS_FLYING_TO,2453,DL,1/1/2015,05:50,153
MCO,EWR,IS_FLYING_TO,2228,B6,1/1/2015,05:48,937
MCI,IAH,IS_FLYING_TO,4555,EV,1/1/2015,05:48,643
BDL,IAD,IS_FLYING_TO,5698,EV,1/1/2015,05:43,326
ABI,DFW,IS_FLYING_TO,3534,MQ,1/1/2015,,158
RIC,IAH,IS_FLYING_TO,4339,EV,1/1/2015,05:48,1157
BFL,DEN,IS_FLYING_TO,6204,OO,1/1/2015,05:56,845
SAT,SFO,IS_FLYING_TO,6261,OO,1/1/2015,05:57,1482
OMA,IAH,IS_FLYING_TO,5160,OO,1/1/2015,06:05,781
RDM,DEN,IS_FLYING_TO,6224,OO,1/1/2015,05:49,898
FLL,BDL,IS_FLYING_TO,860,B6,1/1/2015,05:51,1173
CID,ATL,IS_FLYING_TO,5230,EV,1/1/2015,05:54,694
SFO,DEN,IS_FLYING_TO,526,WN,1/1/2015,05:53,967
MCO,LAX,IS_FLYING_TO,1222,UA,1/1/2015,05:57,2218
TPA,EWR,IS_FLYING_TO,1507,UA,1/1/2015,05:49,997
SEA,DFW,IS_FLYING_TO,1094,AA,1/1/2015,05:55,1660
BOS,DFW,IS_FLYING_TO,1233,AA,1/1/2015,05:51,1562
SYR,JFK,IS_FLYING_TO,115,B6,1/1/2015,05:50,209
ROC,JFK,IS_FLYING_TO,185,B6,1/1/2015,05:50,264
TYR,DFW,IS_FLYING_TO,2519,EV,1/1/2015,05:46,102
MCI,ORD,IS_FLYING_TO,3928,EV,1/1/2015,05:54,403
LAN,ORD,IS_FLYING_TO,3941,EV,1/1/2015,05:55,179
BUF,EWR,IS_FLYING_TO,5976,EV,1/1/2015,09:28,282
XNA,DFW,IS_FLYING_TO,3161,MQ,1/1/2015,,280
GSO,EWR,IS_FLYING_TO,5677,EV,1/1/2015,05:38,445
ORD,LGA,IS_FLYING_TO,224,NK,1/1/2015,05:47,733
LAX,IAH,IS_FLYING_TO,1457,UA,1/1/2015,05:55,1379
EWR,MIA,IS_FLYING_TO,1205,AA,1/1/2015,05:52,1085
ONT,DEN,IS_FLYING_TO,5547,OO,1/1/2015,07:58,819
MSP,DEN,IS_FLYING_TO,210,UA,1/1/2015,05:56,680
PBI,IAH,IS_FLYING_TO,214,UA,1/1/2015,05:55,956
PHX,IAH,IS_FLYING_TO,247,UA,1/1/2015,07:51,1009
RSW,IAH,IS_FLYING_TO,256,UA,1/1/2015,06:00,861
EWR,MCO,IS_FLYING_TO,319,UA,1/1/2015,06:03,937
