iata_code:string,name:string,city:string,state:string,:LABEL
EVV,Evansville Regional Airport,Evansville,IN,Airport
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,Airport
EWR,Newark Liberty International Airport,Newark,NJ,Airport
EYW,Key West International Airport,Key West,FL,Airport
FAI,Fairbanks International Airport,Fairbanks,AK,Airport
FAR,Hector International Airport,Fargo,ND,Airport
FAT,Fresno Yosemite International Airport,Fresno,CA,Airport
FAY,Fayetteville Regional Airport,Fayetteville,NC,Airport
FCA,Glacier Park International Airport,Kalispell,MT,Airport
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,Airport
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,Airport
FNT,Bishop International Airport,Flint,MI,Airport
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,Airport
FSM,Fort Smith Regional Airport,Fort Smith,AR,Airport
FWA,Fort Wayne International Airport,Fort Wayne,IN,Airport
GCC,Gillette-Campbell County Airport,Gillette,WY,Airport
GCK,Garden City Regional Airport,Garden City,KS,Airport
GEG,Spokane International Airport,Spokane,WA,Airport
GFK,Grand Forks International Airport,Grand Forks,ND,Airport
GGG,East Texas Regional Airport,Longview,TX,Airport
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,Airport
GNV,Gainesville Regional Airport,Gainesville,FL,Airport
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,Airport
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,Airport
GRI,Central Nebraska Regional Airport,Grand Island,NE,Airport
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,Airport
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,Airport
GSO,Piedmont Triad International Airport,Greensboro,NC,Airport
GSP,Greenville-Spartanburg International Airport,Greer,SC,Airport
GST,Gustavus Airport,Gustavus,AK,Airport
GTF,Great Falls International Airport,Great Falls,MT,Airport
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,Airport
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,Airport
GUM,Guam International Airport,Agana,GU,Airport
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,Airport
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,Airport
HLN,Helena Regional Airport,Helena,MT,Airport
HNL,Honolulu International Airport,Honolulu,HI,Airport
HOB,Lea County Regional Airport,Hobbs,NM,Airport
HOU,William P. Hobby Airport,Houston,TX,Airport
HPN,Westchester County Airport,White Plains,NY,Airport
HRL,Valley International Airport,Harlingen,TX,Airport
HSV,Huntsville International Airport,Huntsville,AL,Airport
HYA,Barnstable Municipal Airport,Hyannis,MA,Airport
HYS,Hays Regional Airport,Hays,KS,Airport
IAD,Washington Dulles International Airport,Chantilly,VA,Airport
IAG,Niagara Falls International Airport,Niagara Falls,NY,Airport
IAH,George Bush Intercontinental Airport,Houston,TX,Airport
